batch_capture_time,batch_capture_time_readable,precise_capture_time,precise_capture_time_readable,cat,found_link,content_type,description,caption,message,sharing_account_handle,sharing_account_id,sharing_account_follower_count,statistics_view_count,created_time,searched_site,searched_link,message_id,platform,capture_type,group_name,sharing_account_statuses_count,statistics_favourite_count,statistics_retweet_count,statistics_like_count,statistics_love_count,statistics_comment_count,statistics_haha_count,statistics_sad_count,statistics_share_count,statistics_thankful_count,statistics_wow_count,statistics_angry_count,statistics_dislike_count,postUrl,page,api_qtype
2020-06-01 16:46:36.946531+00:00,2020-06-01 17:46:36.946531,2020-06-01 17:46:35.291333+00:00,2020-06-01 17:46:35.291333+00:00,mainstream,https://www.thesun.co.uk/news/11747570/george-floyd-london-protest-black-lives-matter/,link,TWENTY-THREE people have been arrested during a Black Lives Matter protest at the US Embassy in London as fury mounts over the death of George Floyd. The Met Police confirmed the people were arrest…,23 arrested at Black Lives Matter protest in London after George Floyd demonstrators ‘assault police’ at US embassy,"https://www.thesun.co.uk/news/11747570/george-floyd-london-protest-black-lives-matter/

hundreds of activists gathered in the capital holding placards reading ""racism has no place"" and ""no justice, no peace"".

Chanting about something that hasn’t been proven to be race related,? An incident that happened in the USA and not the UK?

These lefty’s want to divide us and cause a race war.

#AllLivesMatter",TommyRobinsonNews,1479163323,35909,2618,1591022721.0,bbc.co.uk,bbc.co.uk,7453,Telegram,omms_telegram_collection,,,,,,,,,,,,,,,,TommyRobinsonNews,telethon
2020-06-01 16:46:36.946821+00:00,2020-06-01 17:46:36.946821,2020-06-01 17:46:35.291333+00:00,2020-06-01 17:46:35.291333+00:00,mainstream,https://soundcloud.com/user-166430027/the-ballad-of-tommy-robinson,link,"The Ballad of Tommy Robinson

Created by Robin Craig  (All Rights Reserved)

Lyrics:

The Ballad of Tommy Robinson

Verse 1

They say that prophecy comes to pass
It wouldn't be the first time
History",The Ballad of Tommy Robinson,"https://soundcloud.com/user-166430027/the-ballad-of-tommy-robinson

Absolute legend cheers bro 👊

Get this link shared everyone!",TommyRobinsonNews,1479163323,35909,4375,1591005304.0,bbc.co.uk,bbc.co.uk,7452,Telegram,omms_telegram_collection,,,,,,,,,,,,,,,,TommyRobinsonNews,telethon
2020-06-01 16:46:36.946953+00:00,2020-06-01 17:46:36.946953,2020-06-01 17:46:35.291333+00:00,2020-06-01 17:46:35.291333+00:00,mainstream,https://mobile.twitter.com/RealJamesWoods/status/1266632344732962816,link,Looting Louis Vuitton store in Portland. Nothing screams justice like designer handbags. https://t.co/zWsExSY6DM,James Woods,"https://mobile.twitter.com/RealJamesWoods/status/1266632344732962816

No justice no peace - no Louis Vuitton bags left!

These degenerate left wing looters are just scum of the earth.

Well done to James Woods for pointing out the obvious on twitter, hope he’s not banned again!",TommyRobinsonNews,1479163323,35909,4342,1591004773.0,bbc.co.uk,bbc.co.uk,7451,Telegram,omms_telegram_collection,,,,,,,,,,,,,,,,TommyRobinsonNews,telethon
2020-06-01 16:46:36.947066+00:00,2020-06-01 17:46:36.947066,2020-06-01 17:46:35.291333+00:00,2020-06-01 17:46:35.291333+00:00,mainstream,https://www.dailymail.co.uk/news/article-8375069/Minnesotas-AGs-son-backs-Antifa-Trump-declared-terrorist-organization.html,link,"Jeremiah Ellison (left), a Minneapolis city councilman, tweeted on Sunday: 'I hereby declare, officially, my support for ANTIFA.' Trump (right) said he would designate it a terrorist organization.",Minnesota AG's son says 'I officially declare my support for Antifa' after Trump declared them a terrorist organization and his dad was put in charge of the George Floyd prosecution,"https://www.dailymail.co.uk/news/article-8375069/Minnesotas-AGs-son-backs-Antifa-Trump-declared-terrorist-organization.html

Jeremiah Ellison, a Minneapolis city councilman and the son of State Attorney General Keith Ellison, tweeted on Sunday: ‘I hereby declare, officially, my support for ANTIFA.

Guess what? He and his dad are democrats!

What an absolute shocker of a revelation.

Left wing political party’s have always been protective of their radical, violent, looting, business burning, terrorist, militant arm Antifa. 

Those who support them should be held to account too.

Fuck Antifa 🖕",TommyRobinsonNews,1479163323,35909,5132,1590993788.0,bbc.co.uk,bbc.co.uk,7450,Telegram,omms_telegram_collection,,,,,,,,,,,,,,,,TommyRobinsonNews,telethon
2020-06-01 16:46:36.947170+00:00,2020-06-01 17:46:36.947170,2020-06-01 17:46:35.291333+00:00,2020-06-01 17:46:35.291333+00:00,mainstream,https://www.dailymail.co.uk/news/article-8374007/Hundreds-Black-Lives-Matter-activists-chanting-breathe-gather-Trafalgar-Square.HTML,link,"Thousands of demonstrators were packed into Trafalgar Square, chanting 'I can't breathe,' the words Floyd was heard gasping as a white police officer knelt on his neck in Minneapolis.","Police arrest five people after 'assault on officers' as thousands of Black Lives Matter activists marched on US embassy in London and crowds gathered peacefully around UK demanding 'justice' for George Floyd killed by cops 4,000 miles away in US","https://www.dailymail.co.uk/news/article-8374007/Hundreds-Black-Lives-Matter-activists-chanting-breathe-gather-Trafalgar-Square.html

The same radical left wing Antifa aligned black lives matter that has looted, rioted and burned businesses down to the ground in the USA are now sowing seeds to start a race war here.

Radical left wingers are mentally ill and dangerous. Actually they are terrorists!",TommyRobinsonNews,1479163323,35909,6529,1590952603.0,bbc.co.uk,bbc.co.uk,7448,Telegram,omms_telegram_collection,,,,,,,,,,,,,,,,TommyRobinsonNews,telethon
2020-06-01 16:46:36.947270+00:00,2020-06-01 17:46:36.947270,2020-06-01 17:46:35.291333+00:00,2020-06-01 17:46:35.291333+00:00,mainstream,https://mobile.twitter.com/realDonaldTrump/status/1267129644228247552,link,The United States of America will be designating ANTIFA as a Terrorist Organization.,Donald J. Trump,"https://mobile.twitter.com/realDonaldTrump/status/1267129644228247552

About time President Trump! These violent left wing nut jobs have been organising a race war for way too long without any pushback.",TommyRobinsonNews,1479163323,35909,6693,1590946423.0,bbc.co.uk,bbc.co.uk,7447,Telegram,omms_telegram_collection,,,,,,,,,,,,,,,,TommyRobinsonNews,telethon
2020-06-01 16:46:36.947369+00:00,2020-06-01 17:46:36.947369,2020-06-01 17:46:35.291333+00:00,2020-06-01 17:46:35.291333+00:00,mainstream,https://www.maidenhead-advertiser.co.uk/gallery/maidenhead/158800/first-outdoor-call-to-prayer-broadcast-from-maidenhead-mosque.html,link,"Maidenhead Mosque broadcast its first ever outdoor call to prayer at the weekend, marking a ‘historic event’ for the place of worship.",First outdoor call to prayer broadcast from Maidenhead Mosque,"https://www.maidenhead-advertiser.co.uk/gallery/maidenhead/158800/first-outdoor-call-to-prayer-broadcast-from-maidenhead-mosque.html

More Islamic wailing to dominate the surrounding area. Why is this needed? Maybe a singing choir and church bells need to be blasted out at max volume? I wonder if there would be any complaints then?",TommyRobinsonNews,1479163323,35909,6939,1590932452.0,bbc.co.uk,bbc.co.uk,7446,Telegram,omms_telegram_collection,,,,,,,,,,,,,,,,TommyRobinsonNews,telethon
2020-06-01 16:46:36.947468+00:00,2020-06-01 17:46:36.947468,2020-06-01 17:46:35.291333+00:00,2020-06-01 17:46:35.291333+00:00,mainstream,https://www.independent.co.uk/news/uk/politics/george-floyd-death-uk-raab-response-labour-nandy-a9540981.html,link,"Labour has accused Dominic Raab of being ""weak and wrong"" for refusing to condemn Donald Trump's statements in the wake of the death of a black man in police custody. Fierce protests continued for a",'Weak and wrong': UK government's silence over Trump's response to George Floyd death in US condemned by Labour,"http://www.independent.co.uk/news/uk/politics/george-floyd-death-uk-raab-response-labour-nandy-a9540981.html

Leftist media stick together on both sides of the pond. The left seem to organise race riots, looting and the burning of businesses and then criticise right wing politicians when they don’t play into their manufactured narratives.

The left and it’s media enablers make me sick.",TommyRobinsonNews,1479163323,35909,6896,1590931530.0,bbc.co.uk,bbc.co.uk,7445,Telegram,omms_telegram_collection,,,,,,,,,,,,,,,,TommyRobinsonNews,telethon
2020-06-01 16:46:36.947566+00:00,2020-06-01 17:46:36.947566,2020-06-01 17:46:35.291333+00:00,2020-06-01 17:46:35.291333+00:00,mainstream,https://mobile.twitter.com/LibertarianBlue/status/1266849881492258816,link,"Outside the White House, now: https://t.co/iUh7i785Ye",Allum Bokhari,"https://mobile.twitter.com/LibertarianBlue/status/1266849881492258816

Makes you wonder if these protests are well orchestrated and organised by left wing radicals pushing for a race war?",TommyRobinsonNews,1479163323,35909,8021,1590877825.0,bbc.co.uk,bbc.co.uk,7442,Telegram,omms_telegram_collection,,,,,,,,,,,,,,,,TommyRobinsonNews,telethon
2020-06-01 16:46:36.947663+00:00,2020-06-01 17:46:36.947663,2020-06-01 17:46:35.291333+00:00,2020-06-01 17:46:35.291333+00:00,mainstream,https://twitter.com/realDonaldTrump/status/1266800113260703744,link,"80% of the RIOTERS in Minneapolis last night were from OUT OF STATE. They are harming businesses (especially African American small businesses), homes, and the community of good, hardworking Minneapolis residents who want peace, equality, and to provide for their families.",Donald J. Trump,"https://twitter.com/realDonaldTrump/status/1266800113260703744

Wow does this mean that radical leftists are being bussed into states to riot, loot and burn down businesses?

I thought the left were so tolerant and peaceful?

Who would have thought? 🤷",TommyRobinsonNews,1479163323,35909,7759,1590870526.0,bbc.co.uk,bbc.co.uk,7441,Telegram,omms_telegram_collection,,,,,,,,,,,,,,,,TommyRobinsonNews,telethon
