short.link,cat,subcat,youtube,youtube_ID,exclude,youtube_uploads_ID,youtube_channel_ID
elpais.com,mainstream,,,,,,
summit.news,world_alternative,,,,,,
bbc.co.uk,mainstream,,bbcnews,,,UU16niRr50-MSBwiO3YDb3RA,UC16niRr50-MSBwiO3YDb3RA
thesun.co.uk,mainstream,,thesunnewspaper,,,UUIzXayRP7-P0ANpq-nD-h5g,UCIzXayRP7-P0ANpq-nD-h5g
dailymail.co.uk,mainstream,,MailOnlineVideo,,,UUw3fku0sH3qA3c3pZeJwdAw,UCw3fku0sH3qA3c3pZeJwdAw
theguardian.com,mainstream,,TheGuardian,,,UUHpw8xwDNhU9gdohEcJu4aA,UCHpw8xwDNhU9gdohEcJu4aA
standard.co.uk,mainstream,,EveningStandardNews,,,UU7RQon_YwCnp_LbPtEwW65w,UC7RQon_YwCnp_LbPtEwW65w
independent.co.uk,mainstream,,theindependent,,,UUshwRhftzkiov5wKR7M_LsQ,UCshwRhftzkiov5wKR7M_LsQ
telegraph.co.uk,mainstream,,telegraphtv,,,UUPgLNge0xqQHWM5B5EFH9Cg,UCPgLNge0xqQHWM5B5EFH9Cg
mirror.co.uk,mainstream,,dailymirror,,,UU3EmxrWVl7K8xBH_UVIWY4Q,UC3EmxrWVl7K8xBH_UVIWY4Q
express.co.uk,mainstream,,,,,,
dailystar.co.uk,mainstream,,DailyStarOnline,,inactive,,
thetimes.co.uk,mainstream,,timesonlinevideo,,,UUF-VP3b3oH0XASqsLI5rnLw,UCF-VP3b3oH0XASqsLI5rnLw
nytimes.com,mainstream,,,,,,
washingtonpost.com,mainstream,,,,,,
lemonde.fr,mainstream,,,,,,
repubblica.it,mainstream,,,,,,
cnn.com,mainstream,,,,,,
rt.com,foreign.state,Russia,RTUKnews,,,UU_ab7FFA2ACk2yTHgNan8lQ,UC_ab7FFA2ACk2yTHgNan8lQ
rt.com/uk,foreign.state,Russia,,,,,
rt.com/usa,foreign.state,Russia,,,,,
sputniknews.com,foreign.state,Russia,,UCI4lx9retCL7_cBmmceEQ8g,,UUI4lx9retCL7_cBmmceEQ8g,UCI4lx9retCL7_cBmmceEQ8g
sputniknews.com/uk,foreign.state,Russia,,,,,
sputniknews.com/us,foreign.state,Russia,,,,,
presstv.com,foreign.state,Iran,,UCTK0BUfMKnPSgoQNm85oiOQ,"double check if legit, very new",,
en.farsnews.ir,foreign.state,Iran,,,,,
tasnimnews.com/en,foreign.state,Iran,,UCDwGzX88y-znRumHc9P8K1w,inactive,,
en.isna.ir,foreign.state,Iran,,,,,
en.irna.ir,foreign.state,Iran,,,,,
en.mehrnews.com,foreign.state,Iran,,UCLlySZH9KcE9LBZ6UOFuALw,inactive,,
iuvmpress.com,foreign.state,Iran,,,,,
trtworld.com,foreign.state,Turkey,,UC7fWeaHhqgM4Ry-RMpM2YYw,,UU7fWeaHhqgM4Ry-RMpM2YYw,UC7fWeaHhqgM4Ry-RMpM2YYw
aa.com.tr/en,foreign.state,Turkey,,,,,
chinadaily.com.cn,foreign.state,China,,UCahujLjSL34EPNxtwKRi_vg,,UUahujLjSL34EPNxtwKRi_vg,UCahujLjSL34EPNxtwKRi_vg
xinhuanet.com,foreign.state,China,ChinaViewTV,,,UUHBDXQDmqnaqIEPdEapEFVQ,UCHBDXQDmqnaqIEPdEapEFVQ
globalresearch.ca,foreign.state,China,,,,,
cgtn.com,foreign.state,China,,,,,
globaltimes.cn,foreign.state,China,,,,,
ecns.cn,foreign.state,China,,,,,
cri.cn,foreign.state,China,,,,,
chinaplus.cri.cn,foreign.state,China,,,,,
en.people.cn,foreign.state,China,,,,,
english.cctv.com,foreign.state,China,,,,,
bjreview.com,foreign.state,China,,,,,
polskieradio.pl/395,foreign.state,Poland,,,,,
indus.news,foreign.state,Pakistan,,,,,
aninews.in,foreign.state,India,,,,,
aljazeera.com,foreign.state,Qatar,,,,,
english.alarabiya.net,foreign.state,Saudi Arabia,,,,,
tr.news,ukalternative,,,,,,
order-order.com,ukalternative,,,UC5dksSIeCegztrYbSY5IgqA,,UU5dksSIeCegztrYbSY5IgqA,UC5dksSIeCegztrYbSY5IgqA
skwawkbox.org,ukalternative,,,,,,
thecanary.co,ukalternative,,,,,,
redrevolution.co.uk,ukalternative,,,,,,
evolvepolitics.com,ukalternative,,,UCWYTxMTbbSj7VBJsd2OuFOQ,,UUWYTxMTbbSj7VBJsd2OuFOQ,UCWYTxMTbbSj7VBJsd2OuFOQ
politicalite.com,ukalternative,,,UC453nTnVCgRKGYaiwoXhSrQ,inactive,,
thedailypolitik.com,ukalternative,,,UCAMwH6HF5Y-78JJ6l_QnQjg,,UUAMwH6HF5Y-78JJ6l_QnQjg,UCAMwH6HF5Y-78JJ6l_QnQjg
unitynewsnetwork.co.uk,ukalternative,,,UC44ygHhf5-2W-uR44BpPVdg,,UU44ygHhf5-2W-uR44BpPVdg,UC44ygHhf5-2W-uR44BpPVdg
